TABLE,SCHEMA_OWNER,CREATION_MIGRATION,MIGRATION_LINEAGE,MIGRATION_ORDER,CURRENT_BOOTSTRAP_INCLUDED,RUNTIME_PRINCIPAL,RUNTIME_PRIVILEGES,RLS_REQUIRED,ACTIVE_RUNTIME_REFERENCE,ACTIVE_RUNTIME_READERS,ACTIVE_RUNTIME_WRITERS,CREATION_LINEAGE_CLASS,CANONICAL_REQUIREMENT,DISPOSITION,STORAGE_AUTHORITY_DOMAIN,DRIZZLE_PROJECTION,DJANGO_MODEL,CREATION_EVIDENCE_FILES
stewards,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql,UNION_EYES_AUDIT_SQL,40,false,tenant,SELECT|INSERT|UPDATE,true,true,4,1,OTHER_GOVERNED_LINEAGE,REQUIRED,,domains/member/stewards,domains/member/stewards.stewards,,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|tooling/sql/union-eyes-qa-baseline.sql|scripts/stub-migration.sql
strategic_goals,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql,UNION_EYES_AUDIT_SQL,40,false,tenant,SELECT,true,true,2,0,OTHER_GOVERNED_LINEAGE,REQUIRED,,domains/governance/strategic-goals,domains/governance/strategic-goals.strategicGoals,,apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|scripts/stub-migration.sql
strike_fund_disbursements,DJANGO_OWNED,apps/union-eyes/backend/billing/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT,true,true,6,2,DJANGO_CANONICAL_LINEAGE,REQUIRED,,domains/finance/taxes,domains/finance/taxes.strikeFundDisbursements,apps/union-eyes/backend/billing/models.py,apps/union-eyes/backend/billing/migrations/0001_initial.py|apps/union-eyes/db/migrations/20260507_fixup_create_break_glass_activations.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
subscription_events_log,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations/0085_monetization_infrastructure_layer.sql,UNION_EYES_LEGACY_SQL,20,false,tenant,SELECT|INSERT,true,true,0,2,ACTIVE_SQL_PLATFORM_LINEAGE,REQUIRED,,domains/finance/dunning,domains/finance/dunning.subscriptionEventsLog,,apps/union-eyes/db/migrations/0085_monetization_infrastructure_layer.sql
subscription_plans,PLATFORM_SQL_OWNED,apps/union-eyes/db/migrations/20260325_dapl_platform_ledger.sql,UNION_EYES_LEGACY_SQL,20,false,tenant,SELECT,false,true,3,1,ACTIVE_SQL_PLATFORM_LINEAGE,REQUIRED,,domains/finance/platform-billing,domains/finance/platform-billing.subscriptionPlans,,apps/union-eyes/db/migrations/20260325_dapl_platform_ledger.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql|apps/union-eyes/db/migrations-audit/finance-tables.sql|migrations/finance-platform-billing-tables.sql|tooling/sql/union-eyes-qa-baseline.sql
survey_answers,DJANGO_OWNED,apps/union-eyes/backend/unions/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT|INSERT,true,true,1,0,DJANGO_CANONICAL_LINEAGE,REQUIRED,,domains/communications/surveys,domains/communications/surveys.surveyAnswers|survey-polling-schema.surveyAnswers,apps/union-eyes/backend/unions/models.py,apps/union-eyes/backend/unions/migrations/0001_initial.py|apps/union-eyes/db/migrations/20260507_fixup_create_break_glass_activations.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
survey_questions,DJANGO_OWNED,apps/union-eyes/backend/unions/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT|INSERT,true,true,1,0,DJANGO_CANONICAL_LINEAGE,REQUIRED,,domains/communications/surveys,domains/communications/surveys.surveyQuestions|survey-polling-schema.surveyQuestions,apps/union-eyes/backend/unions/models.py,apps/union-eyes/backend/unions/migrations/0001_initial.py|apps/union-eyes/db/migrations/20260507_fixup_create_break_glass_activations.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
survey_responses,DJANGO_OWNED,apps/union-eyes/backend/unions/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT|INSERT,true,true,2,0,DJANGO_CANONICAL_LINEAGE,REQUIRED,,domains/communications/surveys,domains/communications/surveys.surveyResponses|survey-polling-schema.surveyResponses,apps/union-eyes/backend/unions/models.py,apps/union-eyes/backend/unions/migrations/0001_initial.py|apps/union-eyes/db/migrations/20260507_fixup_create_break_glass_activations.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
surveys,DJANGO_OWNED,apps/union-eyes/backend/unions/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT|INSERT|UPDATE|DELETE,true,false,0,0,DJANGO_CANONICAL_LINEAGE,REQUIRED,,domains/communications/surveys,domains/communications/surveys.surveys|survey-polling-schema.surveys,apps/union-eyes/backend/unions/models.py,apps/union-eyes/backend/unions/migrations/0001_initial.py|apps/union-eyes/db/migrations/20260507_fixup_create_break_glass_activations.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
tentative_agreements,DJANGO_OWNED,apps/union-eyes/backend/bargaining/migrations/0001_initial.py,DJANGO_MIGRATIONS,10,false,tenant,SELECT|INSERT,true,true,2,1,DJANGO_CANONICAL_LINEAGE,REQUIRED,,bargaining-negotiations-schema,bargaining-negotiations-schema.tentativeAgreements,apps/union-eyes/backend/bargaining/models.py,apps/union-eyes/backend/bargaining/migrations/0001_initial.py|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations/0008_lean_mother_askani.sql|apps/union-eyes/db/migrations-audit/0000_familiar_silhouette.sql
