npm warn Unknown project config "node-linker". This will stop working in the next major version of npm.

=== DRIZZLE SCHEMA AUDIT ===
Total Drizzle tables: 556
Total staging tables: 676
Tables with column mismatches: 356
Tables missing from staging entirely: 50

--- COLUMN MISMATCHES (staging has fewer cols than Drizzle) ---
TABLE                                          DRIZZLE  STAGING  MISSING  FILE
employer_remittances                                32       12       20  dues-finance-schema.ts
analytics_scheduled_reports                         23        4       19  analytics-reporting-schema.ts
autopay_settings                                    23        4       19  autopay-settings-schema.ts
grievance_communications                            25        6       19  domains\claims\workflows.ts
message_log                                         23        4       19  domains\communications\campaigns.ts
organizer_tasks                                     23        4       19  domains\communications\organizer-workflows.ts
survey_questions                                    23        4       19  domains\communications\surveys.ts
tax_year_end_processing                             23        4       19  domains\finance\taxes.ts
blind_trust_registry                                23        4       19  domains\governance\conflicts.ts
card_signing_events                                 23        4       19  domains\infrastructure\organizing.ts
support_tickets                                     35       16       19  domains\infrastructure\support.ts
procurement_requests                                23        4       19  domains\infrastructure\trust-fmv.ts
member_dues_ledger                                  28        9       19  dues-finance-schema.ts
webhook_subscriptions                               23        4       19  integration-schema.ts
legal_holds                                         23        4       19  policy-engine-schema.ts
benchmark_data                                      22        4       18  analytics-reporting-schema.ts
consent_records                                     22        4       18  data-governance-schema.ts
member_location_consent                             22        4       18  domains\compliance\geofence.ts
gl_transaction_log                                  22        4       18  domains\finance\accounting.ts
worksites                                           22        4       18  union-structure-schema.ts
accessibility_test_suites                           21        4       17  accessibility-schema.ts
accessibility_user_testing                          21        4       17  accessibility-schema.ts
automation_rules                                    21        4       17  automation-rules-schema.ts
grievance_stages                                    21        4       17  domains\claims\workflows.ts
notification_templates                              21        4       17  domains\communications\notifications.ts
field_notes                                         21        4       17  domains\communications\organizer-workflows.ts
surveys                                             21        4       17  domains\communications\surveys.ts
key_holder_registry                                 21        4       17  domains\compliance\force-majeure.ts
break_glass_activations                             29       12       17  domains\compliance\force-majeure.ts
privacy_breaches                                    21        4       17  domains\compliance\provincial-privacy.ts
payment_plans                                       24        7       17  dues-finance-schema.ts
organization_benchmark_snapshots                    20        4       16  analytics-reporting-schema.ts
kpi_configurations                                  20        4       16  analytics.ts
staff_certifications                                20        4       16  certification-management-schema.ts
message_templates                                   20        4       16  domains\communications\campaigns.ts
member_relationship_scores                          20        4       16  domains\communications\organizer-workflows.ts
push_notification_templates                         20        4       16  domains\communications\push-notifications.ts
sms_campaigns                                       20        4       16  domains\communications\sms.ts
data_subject_access_requests                        20        4       16  domains\compliance\provincial-privacy.ts
union_density                                       21        5       16  domains\data\benchmarks.ts
arms_length_verification                            21        5       16  domains\governance\conflicts.ts
organizing_campaign_milestones                      20        4       16  domains\infrastructure\organizing.ts
social_analytics                                    20        4       16  domains\infrastructure\social-media.ts
fmv_benchmarks                                      20        4       16  domains\infrastructure\trust-fmv.ts
communication_analytics                             19        4       15  communication-analytics-schema.ts
user_engagement_scores                              19        4       15  communication-analytics-schema.ts
sms_messages                                        19        4       15  domains\communications\sms.ts
gdpr_data_requests                                  19        4       15  domains\compliance\gdpr.ts
location_tracking                                   19        4       15  domains\compliance\geofence.ts
indigenous_data_sharing_agreements                  21        6       15  domains\compliance\indigenous-data.ts
signers                                             19        4       15  domains\documents\workflows.ts
cost_centers                                        19        4       15  domains\finance\accounting.ts
transfer_pricing_documentation                      20        5       15  domains\finance\transfer-pricing.ts
recusal_tracking                                    19        4       15  domains\governance\conflicts.ts
voting_sessions                                     19        4       15  domains\governance\voting.ts
social_feeds                                        19        4       15  domains\infrastructure\social-media.ts
independent_appraisals                              19        4       15  domains\infrastructure\trust-fmv.ts
retention_policies                                  19        4       15  policy-engine-schema.ts
committee_memberships                               19        4       15  union-structure-schema.ts
chatbot_analytics                                   18        4       14  ai-chatbot-schema.ts
communication_preferences                           18        4       14  communication-analytics-schema.ts
user_notification_preferences                       19        5       14  domains\communications\notifications.ts
member_documents                                    24       10       14  member-profile-v2-schema.ts
signature_templates                                 18        4       14  domains\documents\signatures.ts
signature_verification                              18        4       14  domains\documents\workflows.ts
social_campaigns                                    18        4       14  domains\infrastructure\social-media.ts
sla_policies                                        18        4       14  domains\infrastructure\support.ts
member_arrears                                      20        6       14  dues-finance-schema.ts
api_access_tokens                                   18        4       14  integration-schema.ts
chat_sessions                                       17        4       13  ai-chatbot-schema.ts
workflow_definitions                                17        4       13  alerting-automation-schema.ts
workflow_executions                                 17        4       13  alerting-automation-schema.ts
trend_analyses                                      17        4       13  analytics.ts
